id_venta,producto,precio,cantidad,fecha_venta,categoria
792,cuadro decorativo,69.94,5.0,2024-01-02,decoracion
811,lampara de mesa,105.1,5.0,2024-01-02,decoracion
1156,secadora,97.96,3.0,2024-01-02,electrodomesticos
1372,heladera,114.35,8.0,2024-01-02,electrodomesticos
1546,secadora,106.21,4.0,2024-01-02,electrodomesticos
1697,horno electrico,35.35,9.0,2024-01-02,electrodomesticos
1710,plancha de vapor,65.43,2.0,2024-01-02,electrodomesticos
2959,proyector,88.17,9.0,2024-01-02,electronica
318,rincon de plantas,79.86,11.0,2024-01-03,decoracion
419,candelabro,66.11,8.0,2024-01-03,decoracion
1374,aspiradora,95.9,5.0,2024-01-03,electrodomesticos
1571,freidora electrica,111.18,1.0,2024-01-03,electrodomesticos
1814,aspiradora,70.91,2.0,2024-01-03,electrodomesticos
2769,proyector,43.62,11.0,2024-01-03,electronica
2794,tablet,67.97,9.0,2024-01-03,electronica
2824,tablet,74.09,5.0,2024-01-03,electronica
446,cortinas,62.1,4.0,2024-01-04,decoracion
630,adorno de pared,71.99,9.0,2024-01-04,decoracion
794,jarron decorativo,96.97,7.0,2024-01-04,decoracion
882,cuadro decorativo,101.92,9.0,2024-01-04,decoracion
969,candelabro,90.7,12.0,2024-01-04,decoracion
1445,lavadora,28.41,10.0,2024-01-04,electrodomesticos
1971,freidora electrica,122.25,11.0,2024-01-04,electrodomesticos
2209,proyector,32.15,1.0,2024-01-04,electronica
256,cortinas,86.82,8.0,2024-01-05,decoracion
606,cortinas,106.66,11.0,2024-01-05,decoracion
704,jarron decorativo,57.22,9.0,2024-01-05,decoracion
1362,heladera,109.49,11.0,2024-01-05,electrodomesticos
2155,auriculares,84.8,10.0,2024-01-05,electronica
2947,camara digital,107.78,3.0,2024-01-05,electronica
1495,lavadora,38.99,6.0,2024-01-06,electrodomesticos
1572,cafetera,61.4,9.0,2024-01-06,electrodomesticos
2180,consola de videojuegos,102.57,9.0,2024-01-06,electronica
2487,camara digital,50.76,3.0,2024-01-06,electronica
2603,smartphone,87.05,5.0,2024-01-06,electronica
2885,auriculares,100.4,6.0,2024-01-06,electronica
17,elementos de ceramica,108.48,11.0,2024-01-07,decoracion
183,espejo decorativo,82.76,8.0,2024-01-07,decoracion
560,adorno de pared,57.62,6.0,2024-01-07,decoracion
632,cuadro decorativo,30.49,12.0,2024-01-07,decoracion
699,candelabro,34.23,12.0,2024-01-07,decoracion
1150,plancha de vapor,33.63,10.0,2024-01-07,electrodomesticos
1400,plancha de vapor,26.91,5.0,2024-01-07,electrodomesticos
1496,secadora,95.33,11.0,2024-01-07,electrodomesticos
1524,aspiradora,65.55,8.0,2024-01-07,electrodomesticos
1550,plancha de vapor,51.51,7.0,2024-01-07,electrodomesticos
2174,auriculares,116.04,11.0,2024-01-07,electronica
2773,smartphone,107.51,5.0,2024-01-07,electronica
2920,consola de videojuegos,29.49,2.0,2024-01-07,electronica
84,jarron decorativo,37.05,4.0,2024-01-08,decoracion
349,candelabro,57.65,6.0,2024-01-08,decoracion
687,elementos de ceramica,27.68,8.0,2024-01-08,decoracion
696,cortinas,32.57,8.0,2024-01-08,decoracion
1734,aspiradora,50.86,4.0,2024-01-08,electrodomesticos
2173,smartphone,54.19,12.0,2024-01-08,electronica
2283,smartphone,70.07,11.0,2024-01-08,electronica
2501,parlantes bluetooth,87.78,1.0,2024-01-08,electronica
2918,smartwatch,82.18,10.0,2024-01-08,electronica
386,cortinas,85.71,8.0,2024-01-09,decoracion
599,candelabro,47.22,5.0,2024-01-09,decoracion
633,espejo decorativo,60.39,2.0,2024-01-09,decoracion
714,jarron decorativo,42.46,8.0,2024-01-09,decoracion
871,lampara de mesa,79.64,11.0,2024-01-09,decoracion
1132,cafetera,29.88,10.0,2024-01-09,electrodomesticos
1443,microondas,67.39,8.0,2024-01-09,electrodomesticos
1584,aspiradora,99.58,7.0,2024-01-09,electrodomesticos
1617,horno electrico,68.53,8.0,2024-01-09,electrodomesticos
1649,batidora,39.26,11.0,2024-01-09,electrodomesticos
2917,camara digital,120.87,7.0,2024-01-09,electronica
315,alfombra,122.07,9.0,2024-01-10,decoracion
553,espejo decorativo,96.29,9.0,2024-01-10,decoracion
817,elementos de ceramica,106.31,1.0,2024-01-10,decoracion
830,adorno de pared,67.23,10.0,2024-01-10,decoracion
854,jarron decorativo,42.83,5.0,2024-01-10,decoracion
1090,plancha de vapor,66.15,8.0,2024-01-10,electrodomesticos
1464,aspiradora,36.38,5.0,2024-01-10,electrodomesticos
1933,microondas,46.05,6.0,2024-01-10,electrodomesticos
308,rincon de plantas,31.7,11.0,2024-01-11,decoracion
718,rincon de plantas,29.88,8.0,2024-01-11,decoracion
804,jarron decorativo,87.84,7.0,2024-01-11,decoracion
963,espejo decorativo,32.34,5.0,2024-01-11,decoracion
