id_venta,producto,precio,cantidad,fecha_venta,categoria,precio_total,id_campanha,canal,costo,fecha_inicio,fecha_fin
792,cuadro decorativo,69.94,5.0,2024-01-02,decoracion,349.7,61,TV,5.3,2024-11-05,2024-12-23
811,lampara de mesa,105.1,5.0,2024-01-02,decoracion,525.5,62,TV,4.51,2024-08-26,2024-10-07
1156,secadora,97.96,3.0,2024-01-02,electrodomesticos,293.88,33,EMAIL,3.8,2024-12-20,2025-01-07
1372,heladera,114.35,8.0,2024-01-02,electrodomesticos,914.8,64,TV,4.38,2024-07-10,2024-08-09
1546,secadora,106.21,4.0,2024-01-02,electrodomesticos,424.84,33,EMAIL,3.8,2024-12-20,2025-01-07
1697,horno electrico,35.35,9.0,2024-01-02,electrodomesticos,318.15,65,TV,3.08,2024-10-23,2024-12-11
1710,plancha de vapor,65.43,2.0,2024-01-02,electrodomesticos,130.86,66,TV,4.69,2024-10-04,2024-10-23
2959,proyector,88.17,9.0,2024-01-02,electronica,793.52997,7,RRSS,5.57,2024-07-30,2024-08-16
318,rincon de plantas,79.86,11.0,2024-01-03,decoracion,878.46,68,TV,5.81,2024-12-17,2025-02-14
419,candelabro,66.11,8.0,2024-01-03,decoracion,528.88,9,RRSS,5.32,2024-10-08,2024-11-16
1374,aspiradora,95.9,5.0,2024-01-03,electrodomesticos,479.5,70,TV,3.06,2024-12-13,2024-12-29
1571,freidora electrica,111.18,1.0,2024-01-03,electrodomesticos,111.18,11,RRSS,5.27,2024-12-29,2025-01-21
1814,aspiradora,70.91,2.0,2024-01-03,electrodomesticos,141.82,70,TV,3.06,2024-12-13,2024-12-29
2769,proyector,43.62,11.0,2024-01-03,electronica,479.81998,7,RRSS,5.57,2024-07-30,2024-08-16
2794,tablet,67.97,9.0,2024-01-03,electronica,611.73,42,EMAIL,4.42,2024-07-14,2024-09-03
2824,tablet,74.09,5.0,2024-01-03,electronica,370.44998,42,EMAIL,4.42,2024-07-14,2024-09-03
446,cortinas,62.1,4.0,2024-01-04,decoracion,248.4,13,RRSS,5.22,2024-09-16,2024-10-15
630,adorno de pared,71.99,9.0,2024-01-04,decoracion,647.91,14,RRSS,4.16,2024-10-22,2024-12-21
794,jarron decorativo,96.97,7.0,2024-01-04,decoracion,678.79004,75,TV,4.1,2024-11-03,2024-12-25
882,cuadro decorativo,101.92,9.0,2024-01-04,decoracion,917.27997,61,TV,5.3,2024-11-05,2024-12-23
969,candelabro,90.7,12.0,2024-01-04,decoracion,1088.3999,9,RRSS,5.32,2024-10-08,2024-11-16
